File name	Line	Function	Duration[ms]	Explored nodes
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Helper\GUI\MyScriptingClass.cs	252	_TimeTracker.Helper.MyScriptingClass.GetWeekSumData$string.int.int$	0	5
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Helper\GUI\MyScriptingClass.cs	285	_TimeTracker.Helper.MyScriptingClass.SetPlayNotificationSound$bool$	0	2
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Helper\GUI\MyScriptingClass.cs	293	_TimeTracker.Helper.MyScriptingClass.SetHotkeyDisabled$bool$	0	2
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Helper\GUI\MyScriptingClass.cs	301	_TimeTracker.Helper.MyScriptingClass.SetOfflineTracking$bool$	0	2
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Helper\GUI\MyScriptingClass.cs	309	_TimeTracker.Helper.MyScriptingClass.SetTimeNotificationVisible$string$	0	2
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Helper\GUI\MyScriptingClass.cs	317	_TimeTracker.Helper.MyScriptingClass.SetTimeBeforeAskingAgain$string$	0	2
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Helper\GUI\MyScriptingClass.cs	325	_TimeTracker.Helper.MyScriptingClass.SetTimeSinceAppLastUsed$string$	0	2
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Helper\GUI\MyScriptingClass.cs	341	_TimeTracker.Helper.MyScriptingClass.GetTrackingSettings$$	0	2
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Helper\GUI\MyScriptingClass.cs	372	_TimeTracker.Helper.MyScriptingClass.OpenUrl$string$	0	3
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Helper\GUI\MyScriptingClass.cs	500	_TimeTracker.Helper.MyScriptingClass.GetReportData1$System.Collections.Generic.List$object$.string.string.int.int$	0	5
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Helper\GUI\MyScriptingClass.cs	579	_TimeTracker.Helper.MyScriptingClass.GetReportData2$System.Collections.Generic.List$object$.string.string.int$	0	5
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Helper\GUI\MyScriptingClass.cs	693	_TimeTracker.Helper.MyScriptingClass.GetReportData3$System.Collections.Generic.List$object$.string.string.int$	0	5
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\obj\x64\Debug\NewVersion.g.cs	48	_TimeTracker.NewVersion.InitializeComponent$$	0	5
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\NewVersion.xaml.cs	33	_TimeTracker.NewVersion.Hyperlink_RequestNavigate$object.System.Windows.Navigation.RequestNavigateEventArgs$	0	3
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Logic\Listeners\ProgramSwitchListener.cs	63	_TimeTracker.ProgramSwitchListener.GetActiveWindowTitle$System.IntPtr$	0	9
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\obj\x64\Debug\Tutorial.g.cs	80	_TimeTracker.Tutorial.InitializeComponent$$	0	5
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Tutorial.xaml.cs	30	_TimeTracker.Tutorial.DrawImage$$	0	3
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Tutorial.xaml.cs	38	_TimeTracker.Tutorial.Button_Click$object.System.Windows.RoutedEventArgs$	0	7
C:\Users\robin\source\repos\WindowsTimeTracker\TimeTracker\Tutorial.xaml.cs	49	_TimeTracker.Tutorial.Button_Click_1$object.System.Windows.RoutedEventArgs$	0	9
